title,artist,genre,source,artwork
Dawning,Wokeeyes,Zim Hip Hop,Demo Playlist,Assets/charts/top_25_local_hip_hop/4.jpg
Donkno,Wokeeyes,Zim Hip Hop,Demo Playlist,Assets/charts/top_25_local_hip_hop/5.jpg
Halo,Wokeeyes,Zim Hip Hop,Demo Playlist,Assets/charts/top_25_local_hip_hop/6.jpg
Hold Over,Wokeeyes,Zim Hip Hop,Demo Playlist,Assets/charts/top_25_local_hip_hop/7.jpg
Lovin My Body,Wokeeyes,Zim Hip Hop,Demo Playlist,Assets/charts/top_25_local_hip_hop/8.jpg
Samson's Woes,Wokeeyes,Zim Hip Hop,Demo Playlist,Assets/charts/top_25_local_hip_hop/9.jpg
Stone Cold,Wokeeyes,Zim Hip Hop,Demo Playlist,Assets/charts/top_25_local_hip_hop/10.jpg
Come Again,Wokeeyes,Zim Hip Hop,Demo Playlist,Assets/charts/top_25_local_hip_hop/11.jpg
Mbare After Dark,Example Artist,Zim Hip Hop,App Catalog,Assets/charts/top_25_local_hip_hop/12.jpg
Night Bus,Example Artist,Zimdancehall,App Catalog,Assets/charts/top_40_chart/11.jpg
Golden Hour,Example Artist,Afro-Fusion,App Catalog,Assets/charts/top_40_chart/12.jpg
Homecoming,Example Artist,Sungura,App Catalog,Assets/charts/top_40_chart/13.jpg
As We Rise,Example Artist,Gospel Hip Hop,App Catalog,Assets/charts/top_40_chart/14.jpg
Kasi Motion,Example Artist,Amapiano,App Catalog,Assets/charts/top_20_house/6.jpg
uValo,JAZZWRLD,Afro-Fusion,App Catalog,Assets/charts/top_40_chart/15.jpg
Zim Dreams,Feli Nandi,Afro-Soul,App Catalog,Assets/charts/top_40_chart/16.jpg
Mambo,Mambo Dhuterere,Zimdancehall,App Catalog,Assets/charts/top_40_chart/17.jpg
Musarovha,Killer T,Zimdancehall,App Catalog,Assets/charts/top_40_chart/18.jpg
Worroro,Holy Ten,Zim Hip Hop,App Catalog,Assets/charts/top_25_local_hip_hop/13.jpg
Rokita,Killer T,Zimdancehall,App Catalog,Assets/charts/top_40_chart/19.jpg
Number Lelo,Killer T,Zimdancehall,App Catalog,Assets/charts/top_40_chart/20.jpg
Bleed,IKabod,Zim Hip Hop,App Catalog,Assets/charts/top_25_local_hip_hop/14.jpg
Makomana,Chikwata,Zim Hip Hop,App Catalog,Assets/charts/top_25_local_hip_hop/15.jpg
Dear Haters,Voltz JT,Urban Grooves,App Catalog,Assets/charts/top_40_chart/21.jpg
Floeky,Junior Music,Amapiano,App Catalog,Assets/charts/top_20_house/7.jpg
John Vuli Gate,Voltz JT,Amapiano,App Catalog,Assets/charts/top_20_house/8.jpg
Nhaka Yedu,Feli Nandi,Afro-Soul,App Catalog,Assets/charts/top_40_chart/22.jpg
Ropa Dzangu,Feli Nandi,Afro-Fusion,App Catalog,Assets/charts/top_40_chart/23.jpg
Zvakaitika,Somandla Ndebele,Imbube,App Catalog,Assets/charts/top_40_chart/24.jpg
Nkande,MT Tinashe,Amapiano,App Catalog,Assets/charts/top_20_house/9.jpg
Tsano Wangu,MT Tinashe,Zim Hip Hop,App Catalog,Assets/charts/top_25_local_hip_hop/16.jpg
Yewo,MT Tinashe,Afro-Pop,App Catalog,Assets/charts/top_40_chart/25.jpg
Heat Free,Hwinza,Zim Hip Hop,App Catalog,Assets/charts/top_25_local_hip_hop/17.jpg
Season Maroja,Hwinza,Zim Hip Hop,App Catalog,Assets/charts/top_25_local_hip_hop/18.jpg
